star,period,n_B,mean_B,n_V,mean_V,n_R,mean_R,n_I,mean_I,n_J,mean_J,n_H,mean_H,n_K,mean_K
RYCMa,4.67842,154,9.02131,388,8.13248,59,7.62868,280,7.13865,26,6.37952,26,6.02947,26,5.91080
RZCMa,4.25483,61,10.74544,101,9.68929,38,9.09331,78,8.49020,25,7.54862,25,7.17498,25,7.00965
RZGem,5.52929,88,11.13259,97,10.04902,39,9.36676,48,8.70986,25,7.62888,25,7.16245,25,6.99697
SSSct,3.67125,154,9.20159,285,8.22908,160,7.65431,134,7.11463,44,6.31374,44,5.92934,44,5.82876
STTau,4.03430,82,9.13377,157,8.25156,87,7.69492,120,7.15499,28,6.29974,28,5.90840,28,5.78626
SUCyg,3.84549,176,7.49361,266,6.89277,143,6.52725,112,6.19408,68,5.67633,53,5.38257,69,5.31918
SVMon,15.23355,235,9.43671,500,8.25034,197,7.71137,294,7.15825,24,6.26833,24,5.82466,24,5.71039
SVPer,11.12933,91,10.08324,137,8.99602,84,8.35885,22,7.74296,20,6.80267,20,6.34550,20,6.21674
SVul,68.77427,344,11.00523,379,9.03237,321,7.88514,38,6.94772,53,5.42284,53,4.81381,53,4.58958
SVVul,44.93337,351,8.93740,562,7.66066,374,5.91424,89,5.77551,115,4.59779,115,4.10676,114,3.92466
SWCas,5.44095,103,10.88351,173,9.71740,69,9.05390,17,8.46238,22,7.42134,22,6.97976,22,6.84410
SXPer,4.28997,33,12.38429,63,11.18363,23,10.47612,0,nan,24,8.77186,24,8.33734,24,8.20521
SYAur,10.14523,55,10.14789,91,9.08799,35,8.44480,30,7.85429,20,6.91626,20,6.51542,20,6.38527
SYCas,4.07110,107,10.93612,183,9.91533,98,9.30276,22,8.77030,27,7.83714,27,7.44113,27,7.32707
SZAql,17.14072,184,10.22129,292,8.72844,218,7.87687,98,7.09503,116,5.87190,116,5.34653,116,5.16302
SZCyg,15.10957,105,11.02468,180,9.46516,100,8.58908,45,7.81531,33,6.52083,33,5.94823,33,5.75827
TMon,27.03429,281,7.42134,566,6.21961,225,5.54207,367,4.99909,79,105.02756,51,3.63514,80,3.73727
TTAql,13.75495,275,8.55396,473,7.18220,250,6.43840,198,5.72960,82,4.67532,83,4.18423,83,4.03787
TVCMa,4.67001,10,11.93845,47,10.60750,0,nan,37,9.18255,26,8.02941,26,7.57211,26,7.40403
TWCMa,6.99507,52,10.58581,91,9.58748,29,8.99014,68,8.44995,26,7.58089,26,7.16673,26,7.04796
TXCyg,14.70981,112,11.45591,188,9.54415,114,8.35870,64,7.26483,22,5.32308,22,4.62408,22,4.34440
TXMon,8.70174,55,12.13110,98,10.97679,68,10.30158,75,9.64212,22,8.57688,22,8.10598,22,7.96055
TYMon,4.02256,128,12.93372,262,11.74080,37,11.06085,204,10.38761,18,9.31591,18,8.85606,18,8.71045
TYSct,11.05368,59,12.61102,119,10.84738,72,9.79261,30,8.82116,22,7.23117,22,6.62446,22,6.40082
